Date,Station,AQI_Value,Latitude,Longitude
2024-01-02,BTM Layout,58.0,12.9165,77.6101
2024-01-03,BTM Layout,64.0,12.9165,77.6101
2024-01-04,BTM Layout,73.0,12.9165,77.6101
2024-01-05,BTM Layout,66.0,12.9165,77.6101
2024-01-06,BTM Layout,59.0,12.9165,77.6101
2024-01-07,BTM Layout,52.0,,
2024-01-08,BTM Layout,45.0,12.9165,77.6101
2024-01-09,BTM Layout,54.0,,
2024-01-10,BTM Layout,63.0,12.9165,77.6101
2024-01-11,BTM Layout,61.0,12.9165,77.6101
2024-01-12,BTM Layout,57.0,12.9165,77.6101
2024-01-13,BTM Layout,82.0,12.9165,77.6101
2024-01-14,BTM Layout,80.0,12.9165,77.6101
2024-01-15,BTM Layout,84.0,12.9165,77.6101
2024-01-16,BTM Layout,191.0,12.9165,77.6101
2024-01-17,BTM Layout,82.0,12.9165,77.6101
2024-01-18,BTM Layout,80.0,12.9165,77.6101
2024-01-19,BTM Layout,77.0,,
2024-01-20,BTM Layout,74.0,12.9165,77.6101
2024-01-21,BTM Layout,68.0,12.9165,77.6101
2024-01-22,BTM Layout,67.5,,
2024-01-23,BTM Layout,67.0,12.9165,77.6101
2024-01-24,BTM Layout,73.0,12.9165,77.6101
2024-01-25,BTM Layout,67.0,,
2024-01-26,BTM Layout,61.0,12.9165,77.6101
2024-01-27,BTM Layout,72.0,12.9165,77.6101
2024-01-28,BTM Layout,75.5,,
2024-01-29,BTM Layout,79.0,12.9165,77.6101
2024-01-30,BTM Layout,84.0,12.9165,77.6101
2024-01-31,BTM Layout,97.0,12.9165,77.6101
2024-02-01,BTM Layout,71.0,12.9165,77.6101
2024-02-02,BTM Layout,75.0,,
2024-02-03,BTM Layout,79.0,12.9165,77.6101
2024-02-04,BTM Layout,66.0,12.9165,77.6101
2024-02-05,BTM Layout,68.5,,
2024-02-06,BTM Layout,71.0,12.9165,77.6101
2024-02-07,BTM Layout,70.0,12.9165,77.6101
2024-02-08,BTM Layout,67.0,12.9165,77.6101
2024-02-09,BTM Layout,64.6,,
2024-02-10,BTM Layout,62.2,,
2024-02-11,BTM Layout,59.8,,
2024-02-12,BTM Layout,57.4,,
2024-02-13,BTM Layout,55.0,12.9165,77.6101
2024-02-14,BTM Layout,52.0,12.9165,77.6101
2024-02-15,BTM Layout,53.0,12.9165,77.6101
2024-02-16,BTM Layout,58.0,12.9165,77.6101
2024-02-17,BTM Layout,52.0,12.9165,77.6101
2024-02-18,BTM Layout,50.0,,
